http://www.hopslist.com/hops/aroma-hops/Ahil/		http://www.hopslist.com/hops/aroma-hops/Ahtanum		http://www.hopslist.com/hops/aroma-hops/Amarillo		http://www.hopslist.com/hops/aroma-hops/Amethyst		http://www.hopslist.com/hops/aroma-hops/Aquila		http://www.hopslist.com/hops/aroma-hops/Aramis		http://www.hopslist.com/hops/aroma-hops/Atlas		http://www.hopslist.com/hops/aroma-hops/Backa		http://www.hopslist.com/hops/aroma-hops/Bianca		http://www.hopslist.com/hops/aroma-hops/Blato		http://www.hopslist.com/hops/aroma-hops/Blisk		http://www.hopslist.com/hops/aroma-hops/Boadicea		http://www.hopslist.com/hops/aroma-hops/BOR		http://www.hopslist.com/hops/aroma-hops/Bramling		http://www.hopslist.com/hops/aroma-hops/Canadian-Redvine		http://www.hopslist.com/hops/aroma-hops/Canterbury-Whitebine		http://www.hopslist.com/hops/aroma-hops/Cascade-Argentina		http://www.hopslist.com/hops/aroma-hops/Cascade-Australia		http://www.hopslist.com/hops/aroma-hops/Cekin		http://www.hopslist.com/hops/aroma-hops/Celeia		http://www.hopslist.com/hops/aroma-hops/Cobb		http://www.hopslist.com/hops/aroma-hops/Columbia		http://www.hopslist.com/hops/aroma-hops/Crystal		http://www.hopslist.com/hops/aroma-hops/Dana		http://www.hopslist.com/hops/aroma-hops/Defender		http://www.hopslist.com/hops/aroma-hops/Density		http://www.hopslist.com/hops/aroma-hops/Dunav		http://www.hopslist.com/hops/aroma-hops/amos-Early-Bird		http://www.hopslist.com/hops/aroma-hops/Early-Green		http://www.hopslist.com/hops/aroma-hops/Early-Prolific		http://www.hopslist.com/hops/aroma-hops/Early-Promise		http://www.hopslist.com/hops/aroma-hops/East-Kent-Golding		http://www.hopslist.com/hops/aroma-hops/Eastern-Green		http://www.hopslist.com/hops/aroma-hops/Eastwell-Golding		http://www.hopslist.com/hops/aroma-hops/El-Dorado		http://www.hopslist.com/hops/aroma-hops/Ella		http://www.hopslist.com/hops/aroma-hops/Elsaesser		http://www.hopslist.com/hops/aroma-hops/Equinox		http://www.hopslist.com/hops/aroma-hops/First-Choice		http://www.hopslist.com/hops/aroma-hops/Fuggle		http://www.hopslist.com/hops/aroma-hops/Fuggle-US		http://www.hopslist.com/hops/aroma-hops/Fuggle-H		http://www.hopslist.com/hops/aroma-hops/Fuggle-N		http://www.hopslist.com/hops/aroma-hops/Furano-Ace		http://www.hopslist.com/hops/aroma-hops/Gargoyle		http://www.hopslist.com/hops/aroma-hops/Golden-Star		http://www.hopslist.com/hops/aroma-hops/British-Columbia-Golding		http://www.hopslist.com/hops/aroma-hops/Golding-US		http://www.hopslist.com/hops/aroma-hops/Groene-Bel		http://www.hopslist.com/hops/aroma-hops/Hallertau		http://www.hopslist.com/hops/aroma-hops/Hallertauer-New-Zealand		http://www.hopslist.com/hops/aroma-hops/Hallertau-US		http://www.hopslist.com/hops/aroma-hops/Hallertau-Blanc		http://www.hopslist.com/hops/aroma-hops/Hallertauer-Gold		http://www.hopslist.com/hops/aroma-hops/Hallertauer-Tradition		http://www.hopslist.com/hops/aroma-hops/Helga		http://www.hopslist.com/hops/aroma-hops/Hersbrucker		http://www.hopslist.com/hops/aroma-hops/Hersbrucker-E		http://www.hopslist.com/hops/aroma-hops/Hersbrucker-Pure		http://www.hopslist.com/hops/aroma-hops/Hersbrucker-Red-Stem		http://www.hopslist.com/hops/aroma-hops/Hull-Melon		http://www.hopslist.com/hops/aroma-hops/Hybrid		http://www.hopslist.com/hops/aroma-hops/Ivanhoe		http://www.hopslist.com/hops/aroma-hops/Janus		http://www.hopslist.com/hops/aroma-hops/Jester		http://www.hopslist.com/hops/aroma-hops/Keyworth-s-Early		http://www.hopslist.com/hops/aroma-hops/Keyworth-s-Midseason		http://www.hopslist.com/hops/aroma-hops/Kohatu		http://www.hopslist.com/hops/aroma-hops/Landhopfen		http://www.hopslist.com/hops/aroma-hops/Liberty		http://www.hopslist.com/hops/aroma-hops/Lublin-Lubelski		http://www.hopslist.com/hops/aroma-hops/Lubelski-Pulawy		http://www.hopslist.com/hops/aroma-hops/Lucan		http://www.hopslist.com/hops/aroma-hops/Mandarina-Bavaria		http://www.hopslist.com/hops/aroma-hops/Mathon		http://www.hopslist.com/hops/aroma-hops/Motueka		http://www.hopslist.com/hops/aroma-hops/Mount-Hood		http://www.hopslist.com/hops/aroma-hops/Mount-Rainier		http://www.hopslist.com/hops/aroma-hops/Nadwislanska		http://www.hopslist.com/hops/aroma-hops/Nordgaard		http://www.hopslist.com/hops/aroma-hops/Olympic		http://www.hopslist.com/hops/aroma-hops/Omega		http://www.hopslist.com/hops/aroma-hops/Pacific-Jade		http://www.hopslist.com/hops/aroma-hops/Pacific-Hallertau/		http://www.hopslist.com/hops/aroma-hops/Palisade		http://www.hopslist.com/hops/aroma-hops/Petham-Golding		http://www.hopslist.com/hops/aroma-hops/Pocket-Talisman		http://www.hopslist.com/hops/aroma-hops/Precoce-d-Bourgogne		http://www.hopslist.com/hops/aroma-hops/Czech-Premiant		http://www.hopslist.com/hops/aroma-hops/Progress		http://www.hopslist.com/hops/aroma-hops/Record		http://www.hopslist.com/hops/aroma-hops/Red-Earth		http://www.hopslist.com/hops/aroma-hops/Riwaka		http://www.hopslist.com/hops/aroma-hops/Saaz		http://www.hopslist.com/hops/aroma-hops/Saaz-US		http://www.hopslist.com/hops/aroma-hops/Santiam		http://www.hopslist.com/hops/aroma-hops/Saphir		http://www.hopslist.com/hops/aroma-hops/Saxon		http://www.hopslist.com/hops/aroma-hops/Serebrianka		http://www.hopslist.com/hops/aroma-hops/Shinshuwase		http://www.hopslist.com/hops/aroma-hops/Czech-Sladek		http://www.hopslist.com/hops/aroma-hops/Sonnet		http://www.hopslist.com/hops/aroma-hops/Spalt		http://www.hopslist.com/hops/aroma-hops/Spalter-Select		http://www.hopslist.com/hops/aroma-hops/Star		http://www.hopslist.com/hops/aroma-hops/Strisselspalt		http://www.hopslist.com/hops/aroma-hops/Styrian-Golding		http://www.hopslist.com/hops/aroma-hops/Summer		http://www.hopslist.com/hops/aroma-hops/Sun		http://www.hopslist.com/hops/aroma-hops/Sunbeam		http://www.hopslist.com/hops/aroma-hops/Sunshine		http://www.hopslist.com/hops/aroma-hops/Sussex		http://www.hopslist.com/hops/aroma-hops/Sylva		http://www.hopslist.com/hops/aroma-hops/Tahoma		http://www.hopslist.com/hops/aroma-hops/Tardif-de-Burgogne		http://www.hopslist.com/hops/aroma-hops/Teamaker		http://www.hopslist.com/hops/aroma-hops/Tettnanger		http://www.hopslist.com/hops/aroma-hops/Tettnanger-Swiss		http://www.hopslist.com/hops/aroma-hops/Tettnanger-A		http://www.hopslist.com/hops/aroma-hops/Tettnanger-B		http://www.hopslist.com/hops/aroma-hops/Tolhurst		http://www.hopslist.com/hops/aroma-hops/Topaz		http://www.hopslist.com/hops/aroma-hops/Triskel		http://www.hopslist.com/hops/aroma-hops/Ultra		http://www.hopslist.com/hops/aroma-hops/Vanguard		http://www.hopslist.com/hops/aroma-hops/Viking		http://www.hopslist.com/hops/aroma-hops/Vojvodina		http://www.hopslist.com/hops/aroma-hops/Wai-iti		http://www.hopslist.com/hops/aroma-hops/Whitbread-Golding		http://www.hopslist.com/hops/aroma-hops/Willamette		http://www.hopslist.com/hops/aroma-hops/Willamette-AUS		http://www.hopslist.com/hops/aroma-hops/Wuerttemberger		http://www.hopslist.com/hops/aroma-hops/Zlatan		http://www.hopslist.com/hops/aroma-hops/Zythos	
"Also Known As;
Characteristics;
Purpose;Aroma
Alpha Acid Composition;10%-12%
Beta Acid Composition;4%-5%
Co-Humulone Composition;25%
Country;Slovenia
Cone Size;Small to medium
Cone Density;
Seasonal Maturity;
Yield Amount;1540 kg/hectare (1370 lbs/acre)
Growth Rate;
Resistant to;
Susceptible to;
Storability;Retains 46% alpha acid after 6 months storage at 20ºC (68ºF)
Ease of Harvest;
Total Oil Composition;1.8-2.2 mL/100g
Myrcene Oil Composition;61.1%
Humulene Oil Composition;7.6%
Caryophyllene Oil;4.3%
Farnesene Oil;10.4%
Substitutes;
Style Guide;Belgian Ale




"		"Also Known As;
Characteristics;Distinct citrus chracter with notes of grapefruit
Purpose;Aroma
Alpha Acid Composition;4%-6.3%
Beta Acid Composition;5%-6.5%
Co-Humulone Composition;30%-35%
Country;US
Cone Size;Small
Cone Density;Compact
Seasonal Maturity;Mid
Yield Amount;1775-1950 kg/hectare (1585-1740 lbs/acre)
Growth Rate;Moderate
Resistant to;Resistant to downy mildew and Peronospora
Susceptible to;
Storability;Retains 50%-55% alpha acid after 6 months storage at 20ºC (68ºF)
East of Harvest;
Total Oil Composition;0.8-1.2 mL/100g
Myrcene Oil Composition;50%-55%
Humulene Oil Composition;16%-20%
Caryophyllene Oil;9%-12%
Farnesene Oil;0%-1%
Substitutes;Cascade, Amarillo®, Simcoe®, Centennial, Willamette
Style Guide;India Pale Ale, Pale Ale, Heffeweisen, American Ales, Lagers, Californian Common, Bitters




"		"Also Known As;
Characteristics;Orange citrus flavor
Purpose;Aroma
Alpha Acid Composition;8%-11%
Beta Acid Composition;6%-7%
Co-Humulone Composition;21%-24%
Country;US
Cone Size;Small
Cone Density;Compact
Seasonal Maturity;Mid
Yield Amount;1200-1600 kg/hectare (1075-1420 lbs/acre)
Growth Rate;Moderate to high
Resistant to;
Susceptible to;
Storability;Retains 96% alpha acid after 6 months storage at 20ºC (68ºF)
Ease of Harvest;Moderate
Total Oil Composition;1.5-1.9 mL/100g
Myrcene Oil Composition;68%-70%
Humulene Oil Composition;9%-11%
Caryophyllene Oil;2%-4%
Farnesene Oil;2%-4%
Substitutes;
Style Guide;American Pale Ale, India Pale Ale, American Wheat, Bitter, Wheat Beer, Red Ale, ESB




"		"Also Known As;
Characteristics;Notably earthy, citrusy and spicy
Purpose;Aroma
Alpha Acid Composition;2%-6%
Beta Acid Composition;7%-8%
Co-Humulone Composition;20%-28%
Country;Czech Republic
Cone Size;
Cone Density;
Seasonal Maturity;
Yield Amount;
Growth Rate;
Resistant to;
Susceptible to;
Storability;
East of Harvest;
Total Oil Composition;0.4-1 mL/100g
Myrcene Oil Composition;42%
Humulene Oil Composition;19%
Caryophyllene Oil;6%
Farnesene Oil;
Substitutes;
Style Guide;Pale Ale, Lager
"		"Also Known As;
Characteristics;
Purpose;Aroma
Alpha Acid Composition;6.7%-8.9%
Beta Acid Composition;4.1%-4.9%
Co-Humulone Composition;46%
Country; US
Cone Size;
Cone Density;
Seasonal Maturity;Mid to late
Yield Amount;2380 kg/hectare (2120 lbs/acre)
Growth Rate;Very high
Resistant to;Moderately resistant to downy mildew, resistant to verticillium wilt
Susceptible to;
Storability;Retains 40% alpha acid after 6 months storage at 20ºC (68ºF)
East of Harvest;
Total Oil Composition;1.45 mL/100g
Myrcene Oil Composition;62%
Humulene Oil Composition;2%
Caryophyllene Oil;5%
Farnesene Oil;2.2%
Substitutes;Cluster, Galena
Style Guide;Belgian Farmhouse Ale
"		"Also Known As;
Characteristics;Sweet with notes of spice, citrus and herbs
Purpose;Aroma
Alpha Acid Composition;7.9%-8.3%
Beta Acid Composition;3.8%-4.5%
Co-Humulone Composition;42%
Country;France
Cone Size;
Cone Density;
Seasonal Maturity;
Yield Amount;
Growth Rate;
Resistant to;
Susceptible to;
Storability;
Ease of Harvest;
Total Oil Composition;1.2-1.6 mL/100g
Myrcene Oil Composition;40%
Humulene Oil Composition;21%
Caryophyllene Oil;7.4%
Farnesene Oil;2%-4%
Substitutes;
Style Guide;Pilsner, Lager, Wheat, Saison, India Pale Ale, Belgian Ales, Pale Ale, Porter




"		"Also Known As;Styrian Atlas
Characteristics;Intense notes of lime, blossom, and pine
Purpose;Aroma
Alpha Acid Composition;9%-11%
Beta Acid Composition;4%
Co-Humulone Composition;36%
Country;Slovenia
Cone Size;
Cone Density;
Seasonal Maturity;Late
Yield Amount;730 kg/hectare (650 lbs/acre)
Growth Rate;Moderate to high
Resistant to;
Susceptible to; Prunus, Hop Mosaic and Necrotic Ringspot
Storability;Retains 50% alpha acid after 6 months storage at 20ºC (68ºF)
East of Harvest;
Total Oil Composition;1.3-1.6 mL/100g
Myrcene Oil Composition;59%
Humulene Oil Composition;9%
Caryophyllene Oil;4%
Farnesene Oil;13.3%
Substitutes;
Style Guide;American Pale Ale, Belgian Ale




"		"Also Known As;
Characteristics;
Purpose;Aroma
Alpha Acid Composition;3.1%-6.9%
Beta Acid Composition;4%-7.4%
Co-Humulone Composition;25%
Country;Serbia
Cone Size;
Cone Density;
Seasonal Maturity;
Yield Amount;
Growth Rate;High to very high
Resistant to;
Susceptible to;Moderately susceptible to downy mildew
Storability;Retains 67% alpha acid after 6 months storage at 20ºC (68ºF)
East of Harvest;
Total Oil Composition;0.60 mL/100g
Myrcene Oil Composition;
Humulene Oil Composition;
Caryophyllene Oil;
Farnesene Oil;
Substitutes;
Style Guide;Lager, Pilsner




"		"Also Known As;Bianco, Bianca Gold
Characteristics;
Purpose;Aroma
Alpha Acid Composition;7%-8%
Beta Acid Composition;3.4%
Co-Humulone Composition;20%-28%
Country; US
Cone Size;
Cone Density;
Seasonal Maturity;Early
Yield Amount;
Growth Rate;High to very high
Resistant to;Moderately resistant to downy mildew
Susceptible to;
Storability;
East of Harvest;
Total Oil Composition;0.6-1.0 mL/100g
Myrcene Oil Composition;30%
Humulene Oil Composition;25%
Caryophyllene Oil;8%
Farnesene Oil;13%
Substitutes; Sunbeam
Style Guide;Lager, Pilsner, Belgian Ale




"		"Also Known As;
Characteristics;Similar delicate aroma profile to other Saaz hops
Purpose;Aroma
Alpha Acid Composition;4.5%
Beta Acid Composition;3.5%
Co-Humulone Composition;21%
Country; Czech Republic
Cone Size;
Cone Density;
Seasonal Maturity;
Yield Amount;670 kg/hectare (600 lbs/acre)
Growth Rate;Low
Resistant to;
Susceptible to;Moderately susceptible to downy mildew
Storability;Retains 65% alpha acid after 6 months storage at 20ºC (68ºF)
East of Harvest;
Total Oil Composition;0.65 mL/100g
Myrcene Oil Composition;47%
Humulene Oil Composition;18%
Caryophyllene Oil;5%
Farnesene Oil;11.2%
Substitutes;
Style Guide;Lager,Pilsner
"		"Also Known As;
Characteristics;
Purpose;Aroma
Alpha Acid Composition;9.7%-14.1%
Beta Acid Composition;3.3%-4.8%
Co-Humulone Composition;33%
Country;Slovenia
Cone Size;
Cone Density;
Seasonal Maturity;Mid to late
Yield Amount;1350-3250 kg/hectare (1200-2900 lbs/acre)
Growth Rate;Very high
Resistant to;Resistant to downy mildew
Susceptible to;
Storability;Retains 45% alpha acid after 6 months storage at 20ºC (68ºF)
Ease of Harvest;
Total Oil Composition;2.01 mL/100g
Myrcene Oil Composition;58%
Humulene Oil Composition;12%
Caryophyllene Oil;3.7%
Farnesene Oil;15.6%
Substitutes;
Style Guide;English Ale, Extra Special Bitter, Lager, Pilsner




"		"Also Known As;
Characteristics;Delicate aroma of orchard blossoms and grass. Subtle spicy character.
Purpose;Aroma
Alpha Acid Composition;7%-10%
Beta Acid Composition;3%-4%
Co-Humulone Composition;26%
Country;UK
Cone Size;
Cone Density;
Seasonal Maturity;
Yield Amount;
Growth Rate;
Resistant to;Resistant to wilt and downy mildew
Susceptible to;
Storability;
Ease of Harvest;
Total Oil Composition;1.4-2.0 mL/100g
Myrcene Oil Composition;33%
Humulene Oil Composition;20%
Caryophyllene Oil;15%-19%
Farnesene Oil;5%
Substitutes;
Style Guide;Pilsner




"		"Also Known As;BOR 704
Characteristics;
Purpose;Aroma
Alpha Acid Composition;2%-3%
Beta Acid Composition;3%-4%
Co-Humulone Composition;14%-20%
Country;US
Cone Size;
Cone Density;
Seasonal Maturity;Early
Yield Amount;1010-1790 kg/hectare (900-1600 lbs/acre)
Growth Rate;Moderate to high
Resistant to;Resistant to verticillium wilt
Susceptible to;Moderately susceptible to downy mildew
Storability;Retains 67% alpha acid after 6 months storage at 20ºC (68ºF)
Ease of Harvest;
Total Oil Composition;0.65 mL/100g
Myrcene Oil Composition;21%
Humulene Oil Composition;46%
Caryophyllene Oil;13%
Farnesene Oil;Trace Amounts
Substitutes;
Style Guide;German Pilsner, Pale Ale, Wheat Beer




"		"Also Known As;
Characteristics;Pleasant European aroma
Purpose;Aroma
Alpha Acid Composition;5.8%
Beta Acid Composition;3%
Co-Humulone Composition;27%
Country;UK
Cone Size;
Cone Density;
Seasonal Maturity;Early
Yield Amount;670-1120 kg/hectare (600-1000 lbs/acre)
Growth Rate;Low
Resistant to;Resistant to verticillium wilt
Susceptible to;Moderately susceptible to downy mildew
Storability;Retains 76% alpha acid after 6 months storage at 20ºC (68ºF)
East of Harvest;
Total Oil Composition;0.90 mL/100g
Myrcene Oil Composition;
Humulene Oil Composition;
Caryophyllene Oil;
Farnesene Oil;
Substitutes;Whitbread Golding, Progress, East Kent Golding
Style Guide;Golden Ale, Bitter, Rye Ale, India Pale Ale, Stout, Golden Ale, Imperial Stout, Pale Ale, Holiday Ale




"		"Also Known As;
Characteristics;Mild cherry flavor, grapefruit peel aroma
Purpose;Aroma
Alpha Acid Composition;5%
Beta Acid Composition;5%-6%
Co-Humulone Composition;47%
Country;Canada
Cone Size;
Cone Density;
Seasonal Maturity;Late
Yield Amount;2240 kg/hectare (2000 lbs/acre)
Growth Rate;Very high
Resistant to;Moderately resistant to downy mildew
Susceptible to;
Storability;Retains 80% alpha acid after 6 months storage at 20ºC (68ºF)
Ease of Harvest;
Total Oil Composition;11.20 mL/100g
Myrcene Oil Composition;70%
Humulene Oil Composition;2%
Caryophyllene Oil;2%
Farnesene Oil;4%-7%
Substitutes;
Style Guide;Red Ale, Canadian Porter, French Porter




"		"Also Known As;
Characteristics;Delicate flavor
Purpose;Aroma
Alpha Acid Composition;
Beta Acid Composition;
Co-Humulone Composition;
Country;UK
Cone Size;
Cone Density;
Seasonal Maturity;
Yield Amount;
Growth Rate;
Resistant to;
Susceptible to;
Storability;
Ease of Harvest;
Total Oil Composition;
Myrcene Oil Composition;
Humulene Oil Composition;
Caryophyllene Oil;
Farnesene Oil;
Substitutes;
Style Guide;




"		"Also Known As;
Characteristics; Lemongrass, pepper and spice
Purpose;Aroma
Alpha Acid Composition;3.2%
Beta Acid Composition;4.5%-7%
Co-Humulone Composition;33%-40%
Country;Argentina
Cone Size;
Cone Density;
Seasonal Maturity;
Yield Amount;
Growth Rate;
Resistant to;
Susceptible to;
Storability;
Ease of Harvest;
Total Oil Composition;
Myrcene Oil Composition;
Humulene Oil Composition;
Caryophyllene Oil;
Farnesene Oil;
Substitutes;
Style Guide;Barley Wine, American Pale Ale, Kolsch, Cream Ale, Wheat, Blonde




"		"Also Known As;
Characteristics; Same as Cascade (US) but with notes of grapefruit
Purpose;Aroma
Alpha Acid Composition;5%-7%
Beta Acid Composition;5%-7%
Co-Humulone Composition;33%-40%
Country;Australia
Cone Size;
Cone Density;
Seasonal Maturity;
Yield Amount;
Growth Rate;
Resistant to;
Susceptible to;
Storability;
Ease of Harvest;
Total Oil Composition;0.8%-1.3%
Myrcene Oil Composition;40%-60%
Humulene Oil Composition;40%-60%
Caryophyllene Oil;3%-9%
Farnesene Oil;5%-9%
Substitutes;
Style Guide;Barley Wine, American Pale Ale, Australian Lager




"		"Also Known As;
Characteristics;European aroma, similar to Styrian hops
Purpose;Aroma
Alpha Acid Composition;6%-8%
Beta Acid Composition;2%-3%
Co-Humulone Composition;24%
Country;Slovenia
Cone Size;
Cone Density;
Seasonal Maturity;Late
Yield Amount;630 kg/hectare (560 lbs/acre)
Growth Rate;
Resistant to;Moderately resistant to downy mildew
Susceptible to;
Storability;Retains 79% alpha acid after 6 months storage at 20ºC (68ºF)
Ease of Harvest;
Total Oil Composition;1.07 mL/100g
Myrcene Oil Composition;47.9%
Humulene Oil Composition;16.5%
Caryophyllene Oil;6.2%
Farnesene Oil;7.1%
Substitutes;
Style Guide;




"		"Also Known As;
Characteristics;Floral and citrus aroma
Purpose;Aroma
Alpha Acid Composition;5%-6%
Beta Acid Composition;3%-4%
Co-Humulone Composition;25%
Country;Slovenia
Cone Size;
Cone Density;
Seasonal Maturity;Early
Yield Amount;960 kg/hectare (850 lbs/acre)
Growth Rate;
Resistant to;Moderately resistant to downy mildew
Susceptible to;
Storability;Retains 56% alpha acid after 6 months storage at 20ºC (68ºF)
Ease of Harvest;
Total Oil Composition;1.31 mL/100g
Myrcene Oil Composition;49.5%
Humulene Oil Composition;17.6%
Caryophyllene Oil;7.2%
Farnesene Oil;5.6%
Substitutes;
Style Guide;English Ale, Lager, American Lager, Pilsner, English Ale, Extra Special Bitter




"		"Also Known As;Cobb’s Golding
Characteristics;
Purpose;Aroma
Alpha Acid Composition;4.4%-6.7%
Beta Acid Composition;1.9%-2.8%
Co-Humulone Composition;26%-32%
Country;UK
Cone Size;Medium
Cone Density;
Seasonal Maturity;Mid
Yield Amount;1500-2000 kg/hectare (1330-1780 lbs/acre)
Growth Rate;High
Resistant to;
Susceptible to;Sensitive to wilt, susceptible to downy mildew and powdery mildews
Storability;Retains 46% alpha acid after 6 months storage at 20ºC (68ºF)
Ease of Harvest;Moderate to difficult
Total Oil Composition;0.8-1.0 mL/100g
Myrcene Oil Composition;
Humulene Oil Composition;
Caryophyllene Oil;
Farnesene Oil;
Substitutes;
Style Guide;India Pale Ale, English Ales




"		"Also Known As;
Characteristics;Pungent hoppy kick, twist of lemon citrus
Purpose;Aroma
Alpha Acid Composition;8.8%
Beta Acid Composition;4%
Co-Humulone Composition;40%
Country;
Cone Size;Medium
Cone Density;
Seasonal Maturity;Late
Yield Amount;1710 kg/hectare (1520 lbs/acre)
Growth Rate;
Resistant to;Resistant to downy mildew and verticillium wilt
Susceptible to;
Storability;Retains 72% alpha acid after 6 months storage at 20ºC (68ºF)
Ease of Harvest;
Total Oil Composition;1.21 mL/100g
Myrcene Oil Composition;55%
Humulene Oil Composition;17%
Caryophyllene Oil;7%
Farnesene Oil;4.1%
Substitutes;
Style Guide;




"		"Also Known As;
Characteristics;Woody, floral and fruity with spice notes of cinnamon, nutmeg and black pepper
Purpose;Aroma
Alpha Acid Composition;2.8%-4.4%
Beta Acid Composition;5.8%-7%
Co-Humulone Composition;21%-26%
Country;
Cone Size;
Cone Density;
Seasonal Maturity;Late
Yield Amount;2020-2460 kg/hectare (1800-2200 lbs/acre)
Growth Rate;Very high
Resistant to;Resistant to verticillium wilt
Susceptible to;Moderately susceptible to downy mildew
Storability;Retains 65% alpha acid after 6 months storage at 20ºC (68ºF)
Ease of Harvest;
Total Oil Composition;0.82 mL/100g
Myrcene Oil Composition;47%
Humulene Oil Composition;26%
Caryophyllene Oil;7%
Farnesene Oil;Trace Amounts
Substitutes;
Style Guide;Bitter, Pilsner, Light Lager, Golden Ale, Nut Brown Ale, Pale Ale, India Pale Ale, Stout, Chocolate Stout, American Lager




"		"Also Known As;Styrian Dana, Ekstra Styrian Dana, Extra Styrian Dana
Characteristics;Subtle floral and citrus flavors
Purpose;Bittering & Aroma
Alpha Acid Composition;11%-16%
Beta Acid Composition;4%-6%
Co-Humulone Composition;28%-31%
Country;Slovenia
Cone Size;Medium
Cone Density;
Seasonal Maturity;
Yield Amount;
Growth Rate;
Resistant to;
Susceptible to;
Storability;
Ease of Harvest;
Total Oil Composition;2.4-3.9 mL/100g
Myrcene Oil Composition;50%-59%
Humulene Oil Composition;15%-21.6%
Caryophyllene Oil;5.7%-7.6%
Farnesene Oil;6.9%-8.7%
Substitutes;
Style Guide;India Pale Ale




"		"Also Known As;
Characteristics; Pleasant, European-style aroma
Purpose;Aroma
Alpha Acid Composition;3.3%-6%
Beta Acid Composition;1.1%-2.5%
Co-Humulone Composition;27%
Country; UK
Cone Size;
Cone Density;
Seasonal Maturity;Early
Yield Amount;1120-1340 kg/hectare (1000-1200 lbs/acre)
Growth Rate;Moderate
Resistant to;Moderately resistant to downy mildew and resistant to verticillium wilt
Susceptible to;
Storability;Retains 59% alpha acid after 6 months storage at 20ºC (68ºF)
Ease of Harvest;
Total Oil Composition;0.5 mL/100g
Myrcene Oil Composition;31%
Humulene Oil Composition;35%
Caryophyllene Oil;14%
Farnesene Oil;3.7%
Substitutes; Density
Style Guide;




"		"Also Known As;
Characteristics;
Purpose;Aroma
Alpha Acid Composition;4.4%-6.6%
Beta Acid Composition;3.3%
Co-Humulone Composition;36%
Country;UK
Cone Size;Small to medium
Cone Density;
Seasonal Maturity;Mid
Yield Amount;1120-1570 kg/hectare (1000-1400 lbs/acre)
Growth Rate;Moderate to high
Resistant to;Resistant to verticillium wilt
Susceptible to;Susceptible to downy mildew
Storability;Retains 72% alpha acid after 6 months storage at 20ºC (68ºF)
Ease of Harvest;
Total Oil Composition;0.44 mL/100g
Myrcene Oil Composition;57%
